Noah del Angel & Alyssa De La Cruz
C.S.1428.001
Lab Section: L32 & L06
12/02/19

                         Monthly Payroll Report

ID#      Hours    Hourly    Overtime   Gross    State   Federal    Net
         Worked     Rate       Hours     Pay      Tax      Tax      Pay
1000     51.00      6.55     11.00    370.07     22.20     74.02    273.86
1001     40.50      6.50      0.50    264.88     15.89     52.98    196.01
1002     26.00     15.00      0.00    394.88     23.69     78.98    292.21
1003     45.75     11.00      5.75    534.88     32.09    121.81    380.97
1004     42.00     11.45      2.00    492.35     29.54    108.63    354.18
1005     34.00      6.28      0.00    247.87     14.87     49.57    183.42
1006     40.00     10.01      0.00    434.75     26.08     90.77    317.89
1007     39.00     17.32      0.00    709.83     42.59    176.05    491.19
1008     48.50      7.51      8.50    396.15     23.77     79.23    293.15
1009     40.00      5.56      0.00    318.15     19.09     63.63    235.43
